PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,917,07/19/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,SAFETY CORNERS,112144,"10,150.00",
,918,,NIA DAVSUR,"POLOSHIRT W/ 3 COLOR COMBINATION WITH EMBROIDERY & PRINT, 109@545; SPORTS UNIFORM SUBLIMATION (7-SHIRT & SHORTS) 11@700, SPORTS UNIFORM SUBLIMATION (TSHIRT ONLY) 14@450",,"73,405.00",
,919,,NIA XI,"PLAQUE GLASS, 39@1200",,"46,800.00",
,920,,BUREAU OF FIRE PROTECTION XI,"TSHIRT (COLOR CODING), 125@350; TARPAULIN 6 X 8 FT, 1@1152",LOG-2023-07-074,"44,902.00",
,921,07/26/23,PHILHEALTH XI,"TARPAULIN BACKDROP PEER FORUM 4 X 7 FT, 1@504; TARPAULIN BACKDROP GEP FORUM 4 X 7 FT, 1@504",23-07-153,"1,008.00",
,922,,PSA XI,"POLOSHIRT FOR THE 2023 JULY LABOR FORCE SURVEY, 869@365",SOCD-2023-06-15,"313,900.00",
,923,07/31/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP BANNER W/ MECHANISM, 3@1600; ROLLUP TARP ONLY, 5@450",,"7,050.00",
,924,08/03/23,DMSFI,ANNIVERSARY TARP,,"3,825.00",
,925,08/03/23,USEP,POLOSHIRT (FULL SUBLI) ,2023-07-0601,"25,000.00",
,926,08/07/23,DMSFI,"ACCREDITATION AND QUALITY ASSURANCE OFFICE, 1 LOT@20000",22-180,"20,000.00",
,927,08/07/23,DMSFI,"DMSF LOGO SIGNAGE LIGHTED ACRYLIC 4X4 FT, 1@35000; ACRYLIC FRAME PANUNCIALMAN 2X2 FT, 1@5000; REPLACEMENT OF ACRYLIC FRAME 3X3 IN, 1@8000; CLEANING/REHAB OF ALEX A. PANUNCIALMAN FRAME, 1@500",22-188,"48,500.00",
,928,08/07/23,DMSFI,"DMSF LOGO ACRYLIC BUILD UP LIGHTED SIGNAGE, 1 LOT@90000",2300025,"90,000.00",
,929,08/07/23,DMSFI,CLEANING AND REHABILITATION OF DMSF LOGO W/ ADDITIONAL LIGHTINGS,2300028,"60,000.00",
